Bombo,Equipo,Pais,Grupo,id_sorteo
1,Palmeiras,Brasil,A,4908907734
2,Cerro Porteño,Paraguay,A,4908907734
3,Caracas,Venezuela,A,4908907734
4,Independiente Petrolero,Bolivia,A,4908907734
1,Nacional,Uruguay,B,4908907734
2,Libertad,Paraguay,B,4908907734
3,Bragantino,Brasil,B,4908907734
4,Talleres,Argentina,B,4908907734
1,Boca Juniors,Argentina,C,4908907734
2,Colo Colo,Chile,C,4908907734
3,Sporting Cristal,Perú,C,4908907734
4,Olimpia,Fase previa,C,4908907734
1,Flamengo,Brasil,D,4908907734
2,Universidad Católica,Chile,D,4908907734
3,Deportivo Táchira,Venezuela,D,4908907734
4,Estudiantes L.P.,Fase previa,D,4908907734
1,Athletico Paranaense,Brasil,E,4908907734
2,Emelec,Ecuador,E,4908907734
3,Alianza Lima,Perú,E,4908907734
4,The Strongest,Fase previa,E,4908907734
1,Peñarol,Uruguay,F,4908907734
2,Corinthians,Brasil,F,4908907734
3,Colón,Argentina,F,4908907734
4,América M.G.,Fase previa,F,4908907734
1,Atlético Mineiro,Brasil,G,4908907734
2,Vélez,Argentina,G,4908907734
3,Deportivo Cali,Colombia,G,4908907734
4,Always Ready,Bolivia,G,4908907734
1,River Plate,Argentina,H,4908907734
2,Independiente del Valle,Ecuador,H,4908907734
3,Deportes Tolima,Colombia,H,4908907734
4,Fortaleza,Brasil,H,4908907734
