Bombo,Equipo,Pais,Grupo,id_sorteo
1,Palmeiras,Brasil,A,1647537566
2,Emelec,Ecuador,A,1647537566
3,Sporting Cristal,Perú,A,1647537566
4,Olimpia,Fase previa,A,1647537566
1,Athletico Paranaense,Brasil,B,1647537566
2,Universidad Católica,Chile,B,1647537566
3,Deportivo Táchira,Venezuela,B,1647537566
4,The Strongest,Fase previa,B,1647537566
1,Nacional,Uruguay,C,1647537566
2,Corinthians,Brasil,C,1647537566
3,Alianza Lima,Perú,C,1647537566
4,Always Ready,Bolivia,C,1647537566
1,Atlético Mineiro,Brasil,D,1647537566
2,Cerro Porteño,Paraguay,D,1647537566
3,Deportes Tolima,Colombia,D,1647537566
4,Talleres,Argentina,D,1647537566
1,River Plate,Argentina,E,1647537566
2,Independiente del Valle,Ecuador,E,1647537566
3,Bragantino,Brasil,E,1647537566
4,Independiente Petrolero,Bolivia,E,1647537566
1,Boca Juniors,Argentina,F,1647537566
2,Libertad,Paraguay,F,1647537566
3,Deportivo Cali,Colombia,F,1647537566
4,Fortaleza,Brasil,F,1647537566
1,Flamengo,Brasil,G,1647537566
2,Colo Colo,Chile,G,1647537566
3,Colón,Argentina,G,1647537566
4,América M.G.,Fase previa,G,1647537566
1,Peñarol,Uruguay,H,1647537566
2,Vélez,Argentina,H,1647537566
3,Caracas,Venezuela,H,1647537566
4,Estudiantes L.P.,Fase previa,H,1647537566
