Bombo,Equipo,Pais,Grupo,id_sorteo
1,Palmeiras,Brasil,A,6496254845
2,Cerro Porteño,Paraguay,A,6496254845
3,Colón,Argentina,A,6496254845
4,América M.G.,Fase previa,A,6496254845
1,Peñarol,Uruguay,B,6496254845
2,Corinthians,Brasil,B,6496254845
3,Deportivo Cali,Colombia,B,6496254845
4,Estudiantes L.P.,Fase previa,B,6496254845
1,Athletico Paranaense,Brasil,C,6496254845
2,Vélez,Argentina,C,6496254845
3,Deportivo Táchira,Venezuela,C,6496254845
4,The Strongest,Fase previa,C,6496254845
1,River Plate,Argentina,D,6496254845
2,Colo Colo,Chile,D,6496254845
3,Bragantino,Brasil,D,6496254845
4,Always Ready,Bolivia,D,6496254845
1,Nacional,Uruguay,E,6496254845
2,Independiente del Valle,Ecuador,E,6496254845
3,Alianza Lima,Perú,E,6496254845
4,Talleres,Argentina,E,6496254845
1,Flamengo,Brasil,F,6496254845
2,Libertad,Paraguay,F,6496254845
3,Deportes Tolima,Colombia,F,6496254845
4,Olimpia,Fase previa,F,6496254845
1,Boca Juniors,Argentina,G,6496254845
2,Emelec,Ecuador,G,6496254845
3,Caracas,Venezuela,G,6496254845
4,Fortaleza,Brasil,G,6496254845
1,Atlético Mineiro,Brasil,H,6496254845
2,Universidad Católica,Chile,H,6496254845
3,Sporting Cristal,Perú,H,6496254845
4,Independiente Petrolero,Bolivia,H,6496254845
