Bombo,Equipo,Pais,Grupo,id_sorteo
1,Palmeiras,Brasil,A,2994482175
2,Libertad,Paraguay,A,2994482175
3,Deportes Tolima,Colombia,A,2994482175
4,The Strongest,Fase previa,A,2994482175
1,Boca Juniors,Argentina,B,2994482175
2,Emelec,Ecuador,B,2994482175
3,Sporting Cristal,Perú,B,2994482175
4,América M.G.,Fase previa,B,2994482175
1,Flamengo,Brasil,C,2994482175
2,Independiente del Valle,Ecuador,C,2994482175
3,Alianza Lima,Perú,C,2994482175
4,Always Ready,Bolivia,C,2994482175
1,River Plate,Argentina,D,2994482175
2,Universidad Católica,Chile,D,2994482175
3,Deportivo Cali,Colombia,D,2994482175
4,Fortaleza,Brasil,D,2994482175
1,Nacional,Uruguay,E,2994482175
2,Vélez,Argentina,E,2994482175
3,Bragantino,Brasil,E,2994482175
4,Estudiantes L.P.,Fase previa,E,2994482175
1,Peñarol,Uruguay,F,2994482175
2,Corinthians,Brasil,F,2994482175
3,Colón,Argentina,F,2994482175
4,Independiente Petrolero,Bolivia,F,2994482175
1,Atlético Mineiro,Brasil,G,2994482175
2,Cerro Porteño,Paraguay,G,2994482175
3,Deportivo Táchira,Venezuela,G,2994482175
4,Talleres,Argentina,G,2994482175
1,Athletico Paranaense,Brasil,H,2994482175
2,Colo Colo,Chile,H,2994482175
3,Caracas,Venezuela,H,2994482175
4,Olimpia,Fase previa,H,2994482175
