Bombo,Equipo,Pais,Grupo,id_sorteo
1,Palmeiras,Brasil,A,4554995622
2,Independiente del Valle,Ecuador,A,4554995622
3,Colón,Argentina,A,4554995622
4,Always Ready,Bolivia,A,4554995622
1,River Plate,Argentina,B,4554995622
2,Libertad,Paraguay,B,4554995622
3,Bragantino,Brasil,B,4554995622
4,The Strongest,Fase previa,B,4554995622
1,Boca Juniors,Argentina,C,4554995622
2,Colo Colo,Chile,C,4554995622
3,Deportes Tolima,Colombia,C,4554995622
4,Fortaleza,Brasil,C,4554995622
1,Athletico Paranaense,Brasil,D,4554995622
2,Universidad Católica,Chile,D,4554995622
3,Alianza Lima,Perú,D,4554995622
4,Talleres,Argentina,D,4554995622
1,Peñarol,Uruguay,E,4554995622
2,Corinthians,Brasil,E,4554995622
3,Deportivo Táchira,Venezuela,E,4554995622
4,América M.G.,Fase previa,E,4554995622
1,Atlético Mineiro,Brasil,F,4554995622
2,Emelec,Ecuador,F,4554995622
3,Caracas,Venezuela,F,4554995622
4,Olimpia,Fase previa,F,4554995622
1,Nacional,Uruguay,G,4554995622
2,Vélez,Argentina,G,4554995622
3,Deportivo Cali,Colombia,G,4554995622
4,Independiente Petrolero,Bolivia,G,4554995622
1,Flamengo,Brasil,H,4554995622
2,Cerro Porteño,Paraguay,H,4554995622
3,Sporting Cristal,Perú,H,4554995622
4,Estudiantes L.P.,Fase previa,H,4554995622
