Bombo,Equipo,Pais,Grupo,id_sorteo
1,Palmeiras,Brasil,A,4928331474
2,Colo Colo,Chile,A,4928331474
3,Deportivo Cali,Colombia,A,4928331474
4,Estudiantes L.P.,Fase previa,A,4928331474
1,Atlético Mineiro,Brasil,B,4928331474
2,Libertad,Paraguay,B,4928331474
3,Caracas,Venezuela,B,4928331474
4,América M.G.,Fase previa,B,4928331474
1,Flamengo,Brasil,C,4928331474
2,Emelec,Ecuador,C,4928331474
3,Deportes Tolima,Colombia,C,4928331474
4,Talleres,Argentina,C,4928331474
1,Boca Juniors,Argentina,D,4928331474
2,Corinthians,Brasil,D,4928331474
3,Sporting Cristal,Perú,D,4928331474
4,Olimpia,Fase previa,D,4928331474
1,Nacional,Uruguay,E,4928331474
2,Cerro Porteño,Paraguay,E,4928331474
3,Deportivo Táchira,Venezuela,E,4928331474
4,Fortaleza,Brasil,E,4928331474
1,Peñarol,Uruguay,F,4928331474
2,Vélez,Argentina,F,4928331474
3,Alianza Lima,Perú,F,4928331474
4,Independiente Petrolero,Bolivia,F,4928331474
1,River Plate,Argentina,G,4928331474
2,Universidad Católica,Chile,G,4928331474
3,Bragantino,Brasil,G,4928331474
4,Always Ready,Bolivia,G,4928331474
1,Athletico Paranaense,Brasil,H,4928331474
2,Independiente del Valle,Ecuador,H,4928331474
3,Colón,Argentina,H,4928331474
4,The Strongest,Fase previa,H,4928331474
