Bombo,Equipo,Pais,Grupo,id_sorteo
1,Palmeiras,Brasil,A,4324285355
2,Colo Colo,Chile,A,4324285355
3,Caracas,Venezuela,A,4324285355
4,Independiente Petrolero,Bolivia,A,4324285355
1,Peñarol,Uruguay,B,4324285355
2,Corinthians,Brasil,B,4324285355
3,Colón,Argentina,B,4324285355
4,The Strongest,Fase previa,B,4324285355
1,Athletico Paranaense,Brasil,C,4324285355
2,Universidad Católica,Chile,C,4324285355
3,Deportivo Táchira,Venezuela,C,4324285355
4,América M.G.,Fase previa,C,4324285355
1,Atlético Mineiro,Brasil,D,4324285355
2,Cerro Porteño,Paraguay,D,4324285355
3,Alianza Lima,Perú,D,4324285355
4,Estudiantes L.P.,Fase previa,D,4324285355
1,Boca Juniors,Argentina,E,4324285355
2,Libertad,Paraguay,E,4324285355
3,Bragantino,Brasil,E,4324285355
4,Always Ready,Bolivia,E,4324285355
1,River Plate,Argentina,F,4324285355
2,Emelec,Ecuador,F,4324285355
3,Deportes Tolima,Colombia,F,4324285355
4,Fortaleza,Brasil,F,4324285355
1,Flamengo,Brasil,G,4324285355
2,Vélez,Argentina,G,4324285355
3,Sporting Cristal,Perú,G,4324285355
4,Olimpia,Fase previa,G,4324285355
1,Nacional,Uruguay,H,4324285355
2,Independiente del Valle,Ecuador,H,4324285355
3,Deportivo Cali,Colombia,H,4324285355
4,Talleres,Argentina,H,4324285355
