Bombo,Equipo,Pais,Grupo,id_sorteo
1,Palmeiras,Brasil,A,64689761
2,Cerro Porteño,Paraguay,A,64689761
3,Deportivo Táchira,Venezuela,A,64689761
4,Olimpia,Fase previa,A,64689761
1,Nacional,Uruguay,B,64689761
2,Corinthians,Brasil,B,64689761
3,Deportes Tolima,Colombia,B,64689761
4,Always Ready,Bolivia,B,64689761
1,Atlético Mineiro,Brasil,C,64689761
2,Universidad Católica,Chile,C,64689761
3,Colón,Argentina,C,64689761
4,The Strongest,Fase previa,C,64689761
1,Athletico Paranaense,Brasil,D,64689761
2,Emelec,Ecuador,D,64689761
3,Caracas,Venezuela,D,64689761
4,América M.G.,Fase previa,D,64689761
1,Flamengo,Brasil,E,64689761
2,Vélez,Argentina,E,64689761
3,Alianza Lima,Perú,E,64689761
4,Independiente Petrolero,Bolivia,E,64689761
1,River Plate,Argentina,F,64689761
2,Libertad,Paraguay,F,64689761
3,Sporting Cristal,Perú,F,64689761
4,Fortaleza,Brasil,F,64689761
1,Peñarol,Uruguay,G,64689761
2,Independiente del Valle,Ecuador,G,64689761
3,Deportivo Cali,Colombia,G,64689761
4,Talleres,Argentina,G,64689761
1,Boca Juniors,Argentina,H,64689761
2,Colo Colo,Chile,H,64689761
3,Bragantino,Brasil,H,64689761
4,Estudiantes L.P.,Fase previa,H,64689761
