Bombo,Equipo,Pais,Grupo,id_sorteo
1,Palmeiras,Brasil,A,1166336528
2,Universidad Católica,Chile,A,1166336528
3,Colón,Argentina,A,1166336528
4,América M.G.,Fase previa,A,1166336528
1,Nacional,Uruguay,B,1166336528
2,Corinthians,Brasil,B,1166336528
3,Deportivo Táchira,Venezuela,B,1166336528
4,Always Ready,Bolivia,B,1166336528
1,Boca Juniors,Argentina,C,1166336528
2,Colo Colo,Chile,C,1166336528
3,Alianza Lima,Perú,C,1166336528
4,Fortaleza,Brasil,C,1166336528
1,Peñarol,Uruguay,D,1166336528
2,Independiente del Valle,Ecuador,D,1166336528
3,Caracas,Venezuela,D,1166336528
4,Talleres,Argentina,D,1166336528
1,Athletico Paranaense,Brasil,E,1166336528
2,Cerro Porteño,Paraguay,E,1166336528
3,Deportes Tolima,Colombia,E,1166336528
4,Olimpia,Fase previa,E,1166336528
1,Flamengo,Brasil,F,1166336528
2,Emelec,Ecuador,F,1166336528
3,Deportivo Cali,Colombia,F,1166336528
4,The Strongest,Fase previa,F,1166336528
1,Atlético Mineiro,Brasil,G,1166336528
2,Vélez,Argentina,G,1166336528
3,Sporting Cristal,Perú,G,1166336528
4,Independiente Petrolero,Bolivia,G,1166336528
1,River Plate,Argentina,H,1166336528
2,Libertad,Paraguay,H,1166336528
3,Bragantino,Brasil,H,1166336528
4,Estudiantes L.P.,Fase previa,H,1166336528
