Bombo,Equipo,Pais,Grupo,id_sorteo
1,Palmeiras,Brasil,A,9256213211
2,Universidad Católica,Chile,A,9256213211
3,Alianza Lima,Perú,A,9256213211
4,The Strongest,Fase previa,A,9256213211
1,Flamengo,Brasil,B,9256213211
2,Cerro Porteño,Paraguay,B,9256213211
3,Deportivo Táchira,Venezuela,B,9256213211
4,Independiente Petrolero,Bolivia,B,9256213211
1,River Plate,Argentina,C,9256213211
2,Emelec,Ecuador,C,9256213211
3,Bragantino,Brasil,C,9256213211
4,Olimpia,Fase previa,C,9256213211
1,Atlético Mineiro,Brasil,D,9256213211
2,Independiente del Valle,Ecuador,D,9256213211
3,Colón,Argentina,D,9256213211
4,América M.G.,Fase previa,D,9256213211
1,Peñarol,Uruguay,E,9256213211
2,Colo Colo,Chile,E,9256213211
3,Sporting Cristal,Perú,E,9256213211
4,Talleres,Argentina,E,9256213211
1,Nacional,Uruguay,F,9256213211
2,Vélez,Argentina,F,9256213211
3,Caracas,Venezuela,F,9256213211
4,Fortaleza,Brasil,F,9256213211
1,Athletico Paranaense,Brasil,G,9256213211
2,Libertad,Paraguay,G,9256213211
3,Deportes Tolima,Colombia,G,9256213211
4,Estudiantes L.P.,Fase previa,G,9256213211
1,Boca Juniors,Argentina,H,9256213211
2,Corinthians,Brasil,H,9256213211
3,Deportivo Cali,Colombia,H,9256213211
4,Always Ready,Bolivia,H,9256213211
