Bombo,Equipo,Pais,Grupo,id_sorteo
1,Palmeiras,Brasil,A,5186525367
2,Vélez,Argentina,A,5186525367
3,Deportivo Táchira,Venezuela,A,5186525367
4,América M.G.,Fase previa,A,5186525367
1,Atlético Mineiro,Brasil,B,5186525367
2,Independiente del Valle,Ecuador,B,5186525367
3,Deportes Tolima,Colombia,B,5186525367
4,Always Ready,Bolivia,B,5186525367
1,Flamengo,Brasil,C,5186525367
2,Cerro Porteño,Paraguay,C,5186525367
3,Colón,Argentina,C,5186525367
4,Olimpia,Fase previa,C,5186525367
1,Athletico Paranaense,Brasil,D,5186525367
2,Emelec,Ecuador,D,5186525367
3,Deportivo Cali,Colombia,D,5186525367
4,Talleres,Argentina,D,5186525367
1,Peñarol,Uruguay,E,5186525367
2,Corinthians,Brasil,E,5186525367
3,Alianza Lima,Perú,E,5186525367
4,The Strongest,Fase previa,E,5186525367
1,Boca Juniors,Argentina,F,5186525367
2,Libertad,Paraguay,F,5186525367
3,Bragantino,Brasil,F,5186525367
4,Estudiantes L.P.,Fase previa,F,5186525367
1,River Plate,Argentina,G,5186525367
2,Universidad Católica,Chile,G,5186525367
3,Sporting Cristal,Perú,G,5186525367
4,Independiente Petrolero,Bolivia,G,5186525367
1,Nacional,Uruguay,H,5186525367
2,Colo Colo,Chile,H,5186525367
3,Caracas,Venezuela,H,5186525367
4,Fortaleza,Brasil,H,5186525367
