Bombo,Equipo,Pais,Grupo,id_sorteo
1,Palmeiras,Brasil,A,6789081920
2,Libertad,Paraguay,A,6789081920
3,Colón,Argentina,A,6789081920
4,The Strongest,Fase previa,A,6789081920
1,River Plate,Argentina,B,6789081920
2,Cerro Porteño,Paraguay,B,6789081920
3,Alianza Lima,Perú,B,6789081920
4,Independiente Petrolero,Bolivia,B,6789081920
1,Flamengo,Brasil,C,6789081920
2,Independiente del Valle,Ecuador,C,6789081920
3,Caracas,Venezuela,C,6789081920
4,Estudiantes L.P.,Fase previa,C,6789081920
1,Peñarol,Uruguay,D,6789081920
2,Universidad Católica,Chile,D,6789081920
3,Bragantino,Brasil,D,6789081920
4,Always Ready,Bolivia,D,6789081920
1,Athletico Paranaense,Brasil,E,6789081920
2,Vélez,Argentina,E,6789081920
3,Deportes Tolima,Colombia,E,6789081920
4,América M.G.,Fase previa,E,6789081920
1,Nacional,Uruguay,F,6789081920
2,Colo Colo,Chile,F,6789081920
3,Deportivo Táchira,Venezuela,F,6789081920
4,Fortaleza,Brasil,F,6789081920
1,Boca Juniors,Argentina,G,6789081920
2,Corinthians,Brasil,G,6789081920
3,Deportivo Cali,Colombia,G,6789081920
4,Olimpia,Fase previa,G,6789081920
1,Atlético Mineiro,Brasil,H,6789081920
2,Emelec,Ecuador,H,6789081920
3,Sporting Cristal,Perú,H,6789081920
4,Talleres,Argentina,H,6789081920
