Bombo,Equipo,Pais,Grupo,id_sorteo
1,Palmeiras,Brasil,A,207658430
2,Vélez,Argentina,A,207658430
3,Caracas,Venezuela,A,207658430
4,Independiente Petrolero,Bolivia,A,207658430
1,Athletico Paranaense,Brasil,B,207658430
2,Cerro Porteño,Paraguay,B,207658430
3,Colón,Argentina,B,207658430
4,Olimpia,Fase previa,B,207658430
1,Nacional,Uruguay,C,207658430
2,Corinthians,Brasil,C,207658430
3,Deportes Tolima,Colombia,C,207658430
4,Always Ready,Bolivia,C,207658430
1,Boca Juniors,Argentina,D,207658430
2,Emelec,Ecuador,D,207658430
3,Sporting Cristal,Perú,D,207658430
4,Fortaleza,Brasil,D,207658430
1,Flamengo,Brasil,E,207658430
2,Independiente del Valle,Ecuador,E,207658430
3,Deportivo Táchira,Venezuela,E,207658430
4,The Strongest,Fase previa,E,207658430
1,Atlético Mineiro,Brasil,F,207658430
2,Libertad,Paraguay,F,207658430
3,Deportivo Cali,Colombia,F,207658430
4,Estudiantes L.P.,Fase previa,F,207658430
1,Peñarol,Uruguay,G,207658430
2,Universidad Católica,Chile,G,207658430
3,Bragantino,Brasil,G,207658430
4,Talleres,Argentina,G,207658430
1,River Plate,Argentina,H,207658430
2,Colo Colo,Chile,H,207658430
3,Alianza Lima,Perú,H,207658430
4,América M.G.,Fase previa,H,207658430
