Bombo,Equipo,Pais,Grupo,id_sorteo
1,Palmeiras,Brasil,A,1033596212
2,Universidad Católica,Chile,A,1033596212
3,Colón,Argentina,A,1033596212
4,Estudiantes L.P.,Fase previa,A,1033596212
1,Peñarol,Uruguay,B,1033596212
2,Colo Colo,Chile,B,1033596212
3,Deportes Tolima,Colombia,B,1033596212
4,América M.G.,Fase previa,B,1033596212
1,Atlético Mineiro,Brasil,C,1033596212
2,Independiente del Valle,Ecuador,C,1033596212
3,Sporting Cristal,Perú,C,1033596212
4,Independiente Petrolero,Bolivia,C,1033596212
1,River Plate,Argentina,D,1033596212
2,Cerro Porteño,Paraguay,D,1033596212
3,Deportivo Cali,Colombia,D,1033596212
4,Fortaleza,Brasil,D,1033596212
1,Athletico Paranaense,Brasil,E,1033596212
2,Vélez,Argentina,E,1033596212
3,Alianza Lima,Perú,E,1033596212
4,The Strongest,Fase previa,E,1033596212
1,Boca Juniors,Argentina,F,1033596212
2,Libertad,Paraguay,F,1033596212
3,Bragantino,Brasil,F,1033596212
4,Always Ready,Bolivia,F,1033596212
1,Flamengo,Brasil,G,1033596212
2,Emelec,Ecuador,G,1033596212
3,Deportivo Táchira,Venezuela,G,1033596212
4,Talleres,Argentina,G,1033596212
1,Nacional,Uruguay,H,1033596212
2,Corinthians,Brasil,H,1033596212
3,Caracas,Venezuela,H,1033596212
4,Olimpia,Fase previa,H,1033596212
