Bombo,Equipo,Pais,Grupo,id_sorteo
1,Palmeiras,Brasil,A,1052553304
2,Emelec,Ecuador,A,1052553304
3,Alianza Lima,Perú,A,1052553304
4,The Strongest,Fase previa,A,1052553304
1,Atlético Mineiro,Brasil,B,1052553304
2,Cerro Porteño,Paraguay,B,1052553304
3,Caracas,Venezuela,B,1052553304
4,Always Ready,Bolivia,B,1052553304
1,Boca Juniors,Argentina,C,1052553304
2,Colo Colo,Chile,C,1052553304
3,Sporting Cristal,Perú,C,1052553304
4,Olimpia,Fase previa,C,1052553304
1,Athletico Paranaense,Brasil,D,1052553304
2,Universidad Católica,Chile,D,1052553304
3,Colón,Argentina,D,1052553304
4,Independiente Petrolero,Bolivia,D,1052553304
1,River Plate,Argentina,E,1052553304
2,Libertad,Paraguay,E,1052553304
3,Bragantino,Brasil,E,1052553304
4,América M.G.,Fase previa,E,1052553304
1,Flamengo,Brasil,F,1052553304
2,Independiente del Valle,Ecuador,F,1052553304
3,Deportivo Cali,Colombia,F,1052553304
4,Talleres,Argentina,F,1052553304
1,Peñarol,Uruguay,G,1052553304
2,Vélez,Argentina,G,1052553304
3,Deportes Tolima,Colombia,G,1052553304
4,Fortaleza,Brasil,G,1052553304
1,Nacional,Uruguay,H,1052553304
2,Corinthians,Brasil,H,1052553304
3,Deportivo Táchira,Venezuela,H,1052553304
4,Estudiantes L.P.,Fase previa,H,1052553304
