Bombo,Equipo,Pais,Grupo,id_sorteo
1,Palmeiras,Brasil,A,2332990494
2,Cerro Porteño,Paraguay,A,2332990494
3,Alianza Lima,Perú,A,2332990494
4,Talleres,Argentina,A,2332990494
1,Nacional,Uruguay,B,2332990494
2,Colo Colo,Chile,B,2332990494
3,Bragantino,Brasil,B,2332990494
4,Independiente Petrolero,Bolivia,B,2332990494
1,Boca Juniors,Argentina,C,2332990494
2,Emelec,Ecuador,C,2332990494
3,Deportivo Cali,Colombia,C,2332990494
4,Always Ready,Bolivia,C,2332990494
1,River Plate,Argentina,D,2332990494
2,Libertad,Paraguay,D,2332990494
3,Caracas,Venezuela,D,2332990494
4,Fortaleza,Brasil,D,2332990494
1,Athletico Paranaense,Brasil,E,2332990494
2,Vélez,Argentina,E,2332990494
3,Deportes Tolima,Colombia,E,2332990494
4,América M.G.,Fase previa,E,2332990494
1,Atlético Mineiro,Brasil,F,2332990494
2,Universidad Católica,Chile,F,2332990494
3,Colón,Argentina,F,2332990494
4,Estudiantes L.P.,Fase previa,F,2332990494
1,Peñarol,Uruguay,G,2332990494
2,Corinthians,Brasil,G,2332990494
3,Deportivo Táchira,Venezuela,G,2332990494
4,The Strongest,Fase previa,G,2332990494
1,Flamengo,Brasil,H,2332990494
2,Independiente del Valle,Ecuador,H,2332990494
3,Sporting Cristal,Perú,H,2332990494
4,Olimpia,Fase previa,H,2332990494
