Bombo,Equipo,Pais,Grupo,id_sorteo
1,Palmeiras,Brasil,A,2473188558
2,Independiente del Valle,Ecuador,A,2473188558
3,Alianza Lima,Perú,A,2473188558
4,Olimpia,Fase previa,A,2473188558
1,Nacional,Uruguay,B,2473188558
2,Cerro Porteño,Paraguay,B,2473188558
3,Colón,Argentina,B,2473188558
4,Always Ready,Bolivia,B,2473188558
1,River Plate,Argentina,C,2473188558
2,Emelec,Ecuador,C,2473188558
3,Deportivo Táchira,Venezuela,C,2473188558
4,Fortaleza,Brasil,C,2473188558
1,Boca Juniors,Argentina,D,2473188558
2,Universidad Católica,Chile,D,2473188558
3,Bragantino,Brasil,D,2473188558
4,The Strongest,Fase previa,D,2473188558
1,Atlético Mineiro,Brasil,E,2473188558
2,Libertad,Paraguay,E,2473188558
3,Deportivo Cali,Colombia,E,2473188558
4,Talleres,Argentina,E,2473188558
1,Peñarol,Uruguay,F,2473188558
2,Corinthians,Brasil,F,2473188558
3,Sporting Cristal,Perú,F,2473188558
4,Estudiantes L.P.,Fase previa,F,2473188558
1,Athletico Paranaense,Brasil,G,2473188558
2,Vélez,Argentina,G,2473188558
3,Deportes Tolima,Colombia,G,2473188558
4,Independiente Petrolero,Bolivia,G,2473188558
1,Flamengo,Brasil,H,2473188558
2,Colo Colo,Chile,H,2473188558
3,Caracas,Venezuela,H,2473188558
4,América M.G.,Fase previa,H,2473188558
