Bombo,Equipo,Pais,Grupo,id_sorteo
1,Palmeiras,Brasil,A,9778554433
2,Independiente del Valle,Ecuador,A,9778554433
3,Caracas,Venezuela,A,9778554433
4,Independiente Petrolero,Bolivia,A,9778554433
1,Nacional,Uruguay,B,9778554433
2,Corinthians,Brasil,B,9778554433
3,Deportivo Cali,Colombia,B,9778554433
4,Talleres,Argentina,B,9778554433
1,Peñarol,Uruguay,C,9778554433
2,Colo Colo,Chile,C,9778554433
3,Sporting Cristal,Perú,C,9778554433
4,Fortaleza,Brasil,C,9778554433
1,Boca Juniors,Argentina,D,9778554433
2,Libertad,Paraguay,D,9778554433
3,Deportes Tolima,Colombia,D,9778554433
4,Always Ready,Bolivia,D,9778554433
1,Atlético Mineiro,Brasil,E,9778554433
2,Cerro Porteño,Paraguay,E,9778554433
3,Deportivo Táchira,Venezuela,E,9778554433
4,Olimpia,Fase previa,E,9778554433
1,Flamengo,Brasil,F,9778554433
2,Emelec,Ecuador,F,9778554433
3,Colón,Argentina,F,9778554433
4,América M.G.,Fase previa,F,9778554433
1,River Plate,Argentina,G,9778554433
2,Universidad Católica,Chile,G,9778554433
3,Bragantino,Brasil,G,9778554433
4,The Strongest,Fase previa,G,9778554433
1,Athletico Paranaense,Brasil,H,9778554433
2,Vélez,Argentina,H,9778554433
3,Alianza Lima,Perú,H,9778554433
4,Estudiantes L.P.,Fase previa,H,9778554433
