Bombo,Equipo,Pais,Grupo,id_sorteo
1,Palmeiras,Brasil,A,7801796982
2,Vélez,Argentina,A,7801796982
3,Sporting Cristal,Perú,A,7801796982
4,The Strongest,Fase previa,A,7801796982
1,Atlético Mineiro,Brasil,B,7801796982
2,Independiente del Valle,Ecuador,B,7801796982
3,Deportes Tolima,Colombia,B,7801796982
4,Estudiantes L.P.,Fase previa,B,7801796982
1,Athletico Paranaense,Brasil,C,7801796982
2,Cerro Porteño,Paraguay,C,7801796982
3,Alianza Lima,Perú,C,7801796982
4,Always Ready,Bolivia,C,7801796982
1,Nacional,Uruguay,D,7801796982
2,Colo Colo,Chile,D,7801796982
3,Caracas,Venezuela,D,7801796982
4,Fortaleza,Brasil,D,7801796982
1,River Plate,Argentina,E,7801796982
2,Libertad,Paraguay,E,7801796982
3,Deportivo Táchira,Venezuela,E,7801796982
4,Independiente Petrolero,Bolivia,E,7801796982
1,Boca Juniors,Argentina,F,7801796982
2,Universidad Católica,Chile,F,7801796982
3,Bragantino,Brasil,F,7801796982
4,Olimpia,Fase previa,F,7801796982
1,Flamengo,Brasil,G,7801796982
2,Emelec,Ecuador,G,7801796982
3,Colón,Argentina,G,7801796982
4,América M.G.,Fase previa,G,7801796982
1,Peñarol,Uruguay,H,7801796982
2,Corinthians,Brasil,H,7801796982
3,Deportivo Cali,Colombia,H,7801796982
4,Talleres,Argentina,H,7801796982
