Bombo,Equipo,Pais,Grupo,id_sorteo
1,Palmeiras,Brasil,A,8459745526
2,Emelec,Ecuador,A,8459745526
3,Caracas,Venezuela,A,8459745526
4,Estudiantes L.P.,Fase previa,A,8459745526
1,Athletico Paranaense,Brasil,B,8459745526
2,Libertad,Paraguay,B,8459745526
3,Alianza Lima,Perú,B,8459745526
4,The Strongest,Fase previa,B,8459745526
1,River Plate,Argentina,C,8459745526
2,Colo Colo,Chile,C,8459745526
3,Deportes Tolima,Colombia,C,8459745526
4,Olimpia,Fase previa,C,8459745526
1,Boca Juniors,Argentina,D,8459745526
2,Corinthians,Brasil,D,8459745526
3,Sporting Cristal,Perú,D,8459745526
4,América M.G.,Fase previa,D,8459745526
1,Peñarol,Uruguay,E,8459745526
2,Independiente del Valle,Ecuador,E,8459745526
3,Colón,Argentina,E,8459745526
4,Fortaleza,Brasil,E,8459745526
1,Nacional,Uruguay,F,8459745526
2,Cerro Porteño,Paraguay,F,8459745526
3,Bragantino,Brasil,F,8459745526
4,Always Ready,Bolivia,F,8459745526
1,Flamengo,Brasil,G,8459745526
2,Universidad Católica,Chile,G,8459745526
3,Deportivo Cali,Colombia,G,8459745526
4,Talleres,Argentina,G,8459745526
1,Atlético Mineiro,Brasil,H,8459745526
2,Vélez,Argentina,H,8459745526
3,Deportivo Táchira,Venezuela,H,8459745526
4,Independiente Petrolero,Bolivia,H,8459745526
