Bombo,Equipo,Pais,Grupo,id_sorteo
1,Palmeiras,Brasil,A,2713828091
2,Colo Colo,Chile,A,2713828091
3,Deportes Tolima,Colombia,A,2713828091
4,Olimpia,Fase previa,A,2713828091
1,Boca Juniors,Argentina,B,2713828091
2,Libertad,Paraguay,B,2713828091
3,Deportivo Cali,Colombia,B,2713828091
4,América M.G.,Fase previa,B,2713828091
1,River Plate,Argentina,C,2713828091
2,Emelec,Ecuador,C,2713828091
3,Sporting Cristal,Perú,C,2713828091
4,Fortaleza,Brasil,C,2713828091
1,Atlético Mineiro,Brasil,D,2713828091
2,Vélez,Argentina,D,2713828091
3,Deportivo Táchira,Venezuela,D,2713828091
4,Always Ready,Bolivia,D,2713828091
1,Nacional,Uruguay,E,2713828091
2,Cerro Porteño,Paraguay,E,2713828091
3,Bragantino,Brasil,E,2713828091
4,The Strongest,Fase previa,E,2713828091
1,Flamengo,Brasil,F,2713828091
2,Universidad Católica,Chile,F,2713828091
3,Alianza Lima,Perú,F,2713828091
4,Independiente Petrolero,Bolivia,F,2713828091
1,Peñarol,Uruguay,G,2713828091
2,Corinthians,Brasil,G,2713828091
3,Colón,Argentina,G,2713828091
4,Estudiantes L.P.,Fase previa,G,2713828091
1,Athletico Paranaense,Brasil,H,2713828091
2,Independiente del Valle,Ecuador,H,2713828091
3,Caracas,Venezuela,H,2713828091
4,Talleres,Argentina,H,2713828091
