Bombo,Equipo,Pais,Grupo,id_sorteo
1,Palmeiras,Brasil,A,1658045389
2,Universidad Católica,Chile,A,1658045389
3,Deportivo Cali,Colombia,A,1658045389
4,Olimpia,Fase previa,A,1658045389
1,Peñarol,Uruguay,B,1658045389
2,Emelec,Ecuador,B,1658045389
3,Colón,Argentina,B,1658045389
4,Fortaleza,Brasil,B,1658045389
1,Nacional,Uruguay,C,1658045389
2,Independiente del Valle,Ecuador,C,1658045389
3,Deportes Tolima,Colombia,C,1658045389
4,Always Ready,Bolivia,C,1658045389
1,Athletico Paranaense,Brasil,D,1658045389
2,Vélez,Argentina,D,1658045389
3,Caracas,Venezuela,D,1658045389
4,América M.G.,Fase previa,D,1658045389
1,Atlético Mineiro,Brasil,E,1658045389
2,Cerro Porteño,Paraguay,E,1658045389
3,Sporting Cristal,Perú,E,1658045389
4,Estudiantes L.P.,Fase previa,E,1658045389
1,River Plate,Argentina,F,1658045389
2,Corinthians,Brasil,F,1658045389
3,Deportivo Táchira,Venezuela,F,1658045389
4,The Strongest,Fase previa,F,1658045389
1,Flamengo,Brasil,G,1658045389
2,Libertad,Paraguay,G,1658045389
3,Alianza Lima,Perú,G,1658045389
4,Talleres,Argentina,G,1658045389
1,Boca Juniors,Argentina,H,1658045389
2,Colo Colo,Chile,H,1658045389
3,Bragantino,Brasil,H,1658045389
4,Independiente Petrolero,Bolivia,H,1658045389
