Bombo,Equipo,Pais,Grupo,id_sorteo
1,Palmeiras,Brasil,A,3369629047
2,Colo Colo,Chile,A,3369629047
3,Deportivo Táchira,Venezuela,A,3369629047
4,Always Ready,Bolivia,A,3369629047
1,Peñarol,Uruguay,B,3369629047
2,Independiente del Valle,Ecuador,B,3369629047
3,Bragantino,Brasil,B,3369629047
4,The Strongest,Fase previa,B,3369629047
1,Nacional,Uruguay,C,3369629047
2,Libertad,Paraguay,C,3369629047
3,Deportes Tolima,Colombia,C,3369629047
4,Fortaleza,Brasil,C,3369629047
1,Atlético Mineiro,Brasil,D,3369629047
2,Vélez,Argentina,D,3369629047
3,Sporting Cristal,Perú,D,3369629047
4,Olimpia,Fase previa,D,3369629047
1,Boca Juniors,Argentina,E,3369629047
2,Corinthians,Brasil,E,3369629047
3,Alianza Lima,Perú,E,3369629047
4,Independiente Petrolero,Bolivia,E,3369629047
1,River Plate,Argentina,F,3369629047
2,Cerro Porteño,Paraguay,F,3369629047
3,Caracas,Venezuela,F,3369629047
4,América M.G.,Fase previa,F,3369629047
1,Flamengo,Brasil,G,3369629047
2,Emelec,Ecuador,G,3369629047
3,Colón,Argentina,G,3369629047
4,Estudiantes L.P.,Fase previa,G,3369629047
1,Athletico Paranaense,Brasil,H,3369629047
2,Universidad Católica,Chile,H,3369629047
3,Deportivo Cali,Colombia,H,3369629047
4,Talleres,Argentina,H,3369629047
