Bombo,Equipo,Pais,Grupo,id_sorteo
1,Palmeiras,Brasil,A,5066674251
2,Vélez,Argentina,A,5066674251
3,Caracas,Venezuela,A,5066674251
4,Estudiantes L.P.,Fase previa,A,5066674251
1,River Plate,Argentina,B,5066674251
2,Libertad,Paraguay,B,5066674251
3,Deportes Tolima,Colombia,B,5066674251
4,América M.G.,Fase previa,B,5066674251
1,Athletico Paranaense,Brasil,C,5066674251
2,Independiente del Valle,Ecuador,C,5066674251
3,Deportivo Táchira,Venezuela,C,5066674251
4,Talleres,Argentina,C,5066674251
1,Atlético Mineiro,Brasil,D,5066674251
2,Cerro Porteño,Paraguay,D,5066674251
3,Colón,Argentina,D,5066674251
4,Independiente Petrolero,Bolivia,D,5066674251
1,Boca Juniors,Argentina,E,5066674251
2,Corinthians,Brasil,E,5066674251
3,Alianza Lima,Perú,E,5066674251
4,The Strongest,Fase previa,E,5066674251
1,Peñarol,Uruguay,F,5066674251
2,Universidad Católica,Chile,F,5066674251
3,Bragantino,Brasil,F,5066674251
4,Olimpia,Fase previa,F,5066674251
1,Nacional,Uruguay,G,5066674251
2,Colo Colo,Chile,G,5066674251
3,Deportivo Cali,Colombia,G,5066674251
4,Fortaleza,Brasil,G,5066674251
1,Flamengo,Brasil,H,5066674251
2,Emelec,Ecuador,H,5066674251
3,Sporting Cristal,Perú,H,5066674251
4,Always Ready,Bolivia,H,5066674251
