Bombo,Equipo,Pais,Grupo,id_sorteo
1,Palmeiras,Brasil,A,8535996585
2,Cerro Porteño,Paraguay,A,8535996585
3,Deportivo Cali,Colombia,A,8535996585
4,Talleres,Argentina,A,8535996585
1,Athletico Paranaense,Brasil,B,8535996585
2,Emelec,Ecuador,B,8535996585
3,Sporting Cristal,Perú,B,8535996585
4,Always Ready,Bolivia,B,8535996585
1,Flamengo,Brasil,C,8535996585
2,Independiente del Valle,Ecuador,C,8535996585
3,Alianza Lima,Perú,C,8535996585
4,Olimpia,Fase previa,C,8535996585
1,Boca Juniors,Argentina,D,8535996585
2,Libertad,Paraguay,D,8535996585
3,Bragantino,Brasil,D,8535996585
4,The Strongest,Fase previa,D,8535996585
1,River Plate,Argentina,E,8535996585
2,Corinthians,Brasil,E,8535996585
3,Deportivo Táchira,Venezuela,E,8535996585
4,Independiente Petrolero,Bolivia,E,8535996585
1,Peñarol,Uruguay,F,8535996585
2,Vélez,Argentina,F,8535996585
3,Deportes Tolima,Colombia,F,8535996585
4,Estudiantes L.P.,Fase previa,F,8535996585
1,Nacional,Uruguay,G,8535996585
2,Universidad Católica,Chile,G,8535996585
3,Colón,Argentina,G,8535996585
4,Fortaleza,Brasil,G,8535996585
1,Atlético Mineiro,Brasil,H,8535996585
2,Colo Colo,Chile,H,8535996585
3,Caracas,Venezuela,H,8535996585
4,América M.G.,Fase previa,H,8535996585
