Bombo,Equipo,Pais,Grupo,id_sorteo
1,Palmeiras,Brasil,A,127487382
2,Cerro Porteño,Paraguay,A,127487382
3,Caracas,Venezuela,A,127487382
4,Independiente Petrolero,Bolivia,A,127487382
1,River Plate,Argentina,B,127487382
2,Corinthians,Brasil,B,127487382
3,Sporting Cristal,Perú,B,127487382
4,Estudiantes L.P.,Fase previa,B,127487382
1,Boca Juniors,Argentina,C,127487382
2,Emelec,Ecuador,C,127487382
3,Bragantino,Brasil,C,127487382
4,The Strongest,Fase previa,C,127487382
1,Peñarol,Uruguay,D,127487382
2,Vélez,Argentina,D,127487382
3,Deportes Tolima,Colombia,D,127487382
4,Olimpia,Fase previa,D,127487382
1,Nacional,Uruguay,E,127487382
2,Universidad Católica,Chile,E,127487382
3,Alianza Lima,Perú,E,127487382
4,Fortaleza,Brasil,E,127487382
1,Flamengo,Brasil,F,127487382
2,Libertad,Paraguay,F,127487382
3,Deportivo Cali,Colombia,F,127487382
4,Talleres,Argentina,F,127487382
1,Atlético Mineiro,Brasil,G,127487382
2,Colo Colo,Chile,G,127487382
3,Deportivo Táchira,Venezuela,G,127487382
4,Always Ready,Bolivia,G,127487382
1,Athletico Paranaense,Brasil,H,127487382
2,Independiente del Valle,Ecuador,H,127487382
3,Colón,Argentina,H,127487382
4,América M.G.,Fase previa,H,127487382
