Bombo,Equipo,Pais,Grupo,id_sorteo
1,Palmeiras,Brasil,A,5093168398
2,Universidad Católica,Chile,A,5093168398
3,Alianza Lima,Perú,A,5093168398
4,Estudiantes L.P.,Fase previa,A,5093168398
1,Flamengo,Brasil,B,5093168398
2,Vélez,Argentina,B,5093168398
3,Deportes Tolima,Colombia,B,5093168398
4,América M.G.,Fase previa,B,5093168398
1,River Plate,Argentina,C,5093168398
2,Colo Colo,Chile,C,5093168398
3,Bragantino,Brasil,C,5093168398
4,The Strongest,Fase previa,C,5093168398
1,Atlético Mineiro,Brasil,D,5093168398
2,Libertad,Paraguay,D,5093168398
3,Colón,Argentina,D,5093168398
4,Independiente Petrolero,Bolivia,D,5093168398
1,Peñarol,Uruguay,E,5093168398
2,Corinthians,Brasil,E,5093168398
3,Deportivo Táchira,Venezuela,E,5093168398
4,Talleres,Argentina,E,5093168398
1,Athletico Paranaense,Brasil,F,5093168398
2,Independiente del Valle,Ecuador,F,5093168398
3,Sporting Cristal,Perú,F,5093168398
4,Olimpia,Fase previa,F,5093168398
1,Boca Juniors,Argentina,G,5093168398
2,Emelec,Ecuador,G,5093168398
3,Deportivo Cali,Colombia,G,5093168398
4,Fortaleza,Brasil,G,5093168398
1,Nacional,Uruguay,H,5093168398
2,Cerro Porteño,Paraguay,H,5093168398
3,Caracas,Venezuela,H,5093168398
4,Always Ready,Bolivia,H,5093168398
