Bombo,Equipo,Pais,Grupo,id_sorteo
1,Palmeiras,Brasil,A,8519534280
2,Emelec,Ecuador,A,8519534280
3,Colón,Argentina,A,8519534280
4,Always Ready,Bolivia,A,8519534280
1,Peñarol,Uruguay,B,8519534280
2,Colo Colo,Chile,B,8519534280
3,Bragantino,Brasil,B,8519534280
4,Estudiantes L.P.,Fase previa,B,8519534280
1,Flamengo,Brasil,C,8519534280
2,Independiente del Valle,Ecuador,C,8519534280
3,Deportivo Cali,Colombia,C,8519534280
4,América M.G.,Fase previa,C,8519534280
1,Atlético Mineiro,Brasil,D,8519534280
2,Vélez,Argentina,D,8519534280
3,Sporting Cristal,Perú,D,8519534280
4,Independiente Petrolero,Bolivia,D,8519534280
1,Nacional,Uruguay,E,8519534280
2,Corinthians,Brasil,E,8519534280
3,Deportivo Táchira,Venezuela,E,8519534280
4,The Strongest,Fase previa,E,8519534280
1,Boca Juniors,Argentina,F,8519534280
2,Cerro Porteño,Paraguay,F,8519534280
3,Deportes Tolima,Colombia,F,8519534280
4,Fortaleza,Brasil,F,8519534280
1,Athletico Paranaense,Brasil,G,8519534280
2,Universidad Católica,Chile,G,8519534280
3,Caracas,Venezuela,G,8519534280
4,Talleres,Argentina,G,8519534280
1,River Plate,Argentina,H,8519534280
2,Libertad,Paraguay,H,8519534280
3,Alianza Lima,Perú,H,8519534280
4,Olimpia,Fase previa,H,8519534280
