Bombo,Equipo,Pais,Grupo,id_sorteo
1,Palmeiras,Brasil,A,7828117604
2,Emelec,Ecuador,A,7828117604
3,Sporting Cristal,Perú,A,7828117604
4,Independiente Petrolero,Bolivia,A,7828117604
1,Flamengo,Brasil,B,7828117604
2,Universidad Católica,Chile,B,7828117604
3,Colón,Argentina,B,7828117604
4,Olimpia,Fase previa,B,7828117604
1,Peñarol,Uruguay,C,7828117604
2,Colo Colo,Chile,C,7828117604
3,Deportivo Cali,Colombia,C,7828117604
4,Talleres,Argentina,C,7828117604
1,River Plate,Argentina,D,7828117604
2,Libertad,Paraguay,D,7828117604
3,Caracas,Venezuela,D,7828117604
4,Fortaleza,Brasil,D,7828117604
1,Boca Juniors,Argentina,E,7828117604
2,Corinthians,Brasil,E,7828117604
3,Deportivo Táchira,Venezuela,E,7828117604
4,América M.G.,Fase previa,E,7828117604
1,Nacional,Uruguay,F,7828117604
2,Vélez,Argentina,F,7828117604
3,Bragantino,Brasil,F,7828117604
4,The Strongest,Fase previa,F,7828117604
1,Athletico Paranaense,Brasil,G,7828117604
2,Independiente del Valle,Ecuador,G,7828117604
3,Deportes Tolima,Colombia,G,7828117604
4,Always Ready,Bolivia,G,7828117604
1,Atlético Mineiro,Brasil,H,7828117604
2,Cerro Porteño,Paraguay,H,7828117604
3,Alianza Lima,Perú,H,7828117604
4,Estudiantes L.P.,Fase previa,H,7828117604
